date,tweet
2020-08-25 16:01:00,"""We're not going to be paying you for quite some time.""

Some things you should never say to a photographer 👇… https://t.co/jpWI36ROQP"
2020-08-25 15:34:58,"RT @BBCTheOneShow: If baking one of @BegumNadiya's recipes helped to get you through lockdown, or a difficult time in your life, then let u…"
2020-08-25 08:14:39,"RT @BBC6Music: Have you ever broken a world record? Or “almost”?

📻 @laurenlaverne is celebrating 65 years of the Book of Records and is cu…"
2020-08-25 08:14:39,"RT @BBC6Music: Have you ever broken a world record? Or “almost”?

📻 @laurenlaverne is celebrating 65 years of the Book of Records and is cu…"
2020-08-24 16:01:00,"You'll be itchy just watching this. 

@caldamac
https://t.co/XMWspuY7Ys"
2020-08-24 13:12:19,#MeerkatManor is streaming now on @BBCiPlayer. https://t.co/gQ0cnnE8Yg
2020-08-24 13:11:11,"Mitch the meerkat being looked after by his family is the sweetest thing 🥺

#MeerkatManor https://t.co/UdrekkGSkF"
2020-08-23 18:01:00,"Brand new series from @HarryHil, #HarryHillsWorldOfTV, starts tonight! ✨

8:30pm | @BBCTwo &amp; @BBCiPlayer.

👉 https://t.co/cV7aYNViy4"
2020-08-22 18:01:00,"Multi-Oscar winning #Gravity is on @BBCOne at 8:35pm. ✨

👉 https://t.co/JRnwnRNWn2 https://t.co/kdO1cpSAGj"
2020-08-22 14:01:00,"Oscar-nominated #WreckItRalph is on @BBCOne at 4:30pm.  👊

👉 https://t.co/TFfzNChPeV https://t.co/08GFSdhW5q"
2020-08-22 11:01:00,"Learning to cross the road is a whole lot more tense in the meerkat world 😰

#MeerkatManor https://t.co/hrJ3HLNSKJ"
2020-08-21 19:01:00,"Golden Globe-winning comic drama #LadyBird, starring #SaoriseRonan, is on @BBCTwo at 9pm. ✨

Directed by… https://t.co/yR6duPbH1E"
2020-08-21 12:01:00,"“In these extraordinary times, there is one thing that can offer solace to everyone: the wonder of the natural worl… https://t.co/j40npgLBXz"
2020-08-20 12:01:00,"Can you taste sounds? Can you see music? You might have synesthesia.

@ashonfilm for @bbcthesocial
https://t.co/qCKYbyV3En"
